,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
U-235,3.8737e-03,3.0449e-03,1.7113e-03,1.0516e-03,7.3996e-04
U-238,1.8705e-02,1.8373e-02,1.7831e-02,1.7286e-02,1.6821e-02
Pu-239,1.8231e-04,2.7479e-04,2.0837e-04,2.6063e-04,3.2421e-04
Np-239,5.4003e-06,6.6718e-06,3.9487e-06,5.7261e-06,6.5901e-06
avg_r_dist,8.3496e+01,5.1680e+01,1.0310e+02,8.9267e+01,8.3131e+01
passes,1.0000e+00,2.0000e+00,5.0000e+00,7.0000e+00,9.0000e+00
residence_time,6.5250e+01,1.3050e+02,3.3009e+02,4.5803e+02,5.9365e+02
burnup,2.7645e+01,6.0917e+01,1.2415e+02,1.6527e+02,1.8940e+02
fima,2.8995e-02,6.3743e-02,1.2889e-01,1.7088e-01,1.9587e-01
pass_residence_time,6.5250e+01,6.5250e+01,6.5250e+01,6.5250e+01,6.5250e+01
pass_avg_r_dist,8.3496e+01,6.8607e+01,1.1324e+02,9.1805e+01,7.5450e+01
pass_fima,2.8995e-02,2.8445e-02,2.2642e-02,1.4050e-02,1.5790e-02
pass_burnup,2.7645e+01,2.7245e+01,2.1814e+01,1.3573e+01,1.5350e+01
integrated_flux_pebbles_thermal,5.1939e+20,1.2131e+21,2.8329e+21,4.2346e+21,5.1701e+21
integrated_flux_pebbles_fast,1.5252e+21,3.5366e+21,6.9377e+21,1.0100e+22,1.3308e+22
integrated_power_pebbles,8.0748e+09,1.7793e+10,3.6280e+10,4.8275e+10,5.5323e+10
pass_integrated_flux_pebbles_thermal,5.1939e+20,5.6158e+20,6.8258e+20,5.2061e+20,5.5353e+20
pass_integrated_flux_pebbles_fast,1.5252e+21,1.6592e+21,1.0409e+21,1.4840e+21,1.6301e+21
pass_integrated_power_pebbles,8.0748e+09,7.9579e+09,6.3716e+09,3.9644e+09,4.4835e+09
